,origin,destination,register,flight_num,airplane,scheduled_date,scheduled_time,actual_date,actual_time,day,status1,status2,airline_icao,international,delay,ftype,miladi_scheduled,miladi_actual,id,airline,latitude_deg,longitude_deg
0,OIAW,OISS,NULL,IRC3829,100,1402-01-01,00:15:00,1402-01-01,23:56:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,1,آسمان,31.3374,48.762001
1,OISS,OIBK,NULL,IRC3804,100,1402-01-01,23:40:00,1402-01-01,23:40:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,2,آسمان,29.5392,52.589802
2,OIYY,OIII,NULL,IRC3725,NULL,1402-01-01,23:40:00,1402-01-01,23:40:00,چهارشنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,3,آسمان,31.9048995972,54.2765007019
3,OISS,OIBK,NULL,IRC3804,100,1402-01-01,23:30:00,1402-01-01,23:38:00,چهارشنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,4,آسمان,29.5392,52.589802
4,OIAA,OISS,NULL,IRC3821,100,1402-01-01,00:05:00,1402-01-01,23:36:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,5,آسمان,30.367887,48.230075
5,OINZ,OIMM,,IRC3973,F100,1402-01-01,22:30:00,1402-01-01,23:27:00,سه شنبه,نشست ,NULL,IRC,0,57,arrival,2023-03-21,2023-03-21,6,آسمان,36.644408,53.188761
6,OING,OIII,EPATZ,IRC633,ATR-72-500,1402-01-01,23:20:00,1402-01-01,23:20:00,سه شنبه,نشست ,NULL,IRC,0,0,arrival,2023-03-21,2023-03-21,7,آسمان,36.9094009399,54.4012985229
7,OIII,OISS,,IRC3773,F100,1402-01-01,23:15:00,1402-01-01,23:15:00,سه شنبه,تاخیر - 02:30,NULL,IRC,0,0,departure,2023-03-21,2023-03-21,8,آسمان,35.68920135498047,51.31340026855469
8,OIII,OIAW,,IRC832,A320,1402-01-01,22:40:00,1402-01-01,23:10:00,سه شنبه,نشست ,NULL,IRC,0,30,arrival,2023-03-21,2023-03-21,9,آسمان,35.68920135498047,51.31340026855469
9,OIII,OIYY,NULL,IRC3724,NULL,1402-01-01,22:55:00,1402-01-01,23:10:00,چهارشنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,10,آسمان,35.68920135498047,51.31340026855469
10,OIKB,OISS,NULL,IRC3793,100,1402-01-01,21:45:00,1402-01-01,23:00:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,11, آسمان,27.218299865722656,56.37779998779297
11,OIII,OITR,EPATE,IRC3854,F100,1402-01-01,19:10:00,1402-01-01,22:49:00,سه شنبه,پرواز كرد ,NULL,IRC,0,219,departure,2023-03-21,2023-03-21,12,آسمان,35.68920135498047,51.31340026855469
12,OIAW,OISS,NULL,IRC3891,100,1402-01-01,22:40:00,1402-01-01,22:37:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,13,آسمان,31.3374,48.762001
13,OING,OIII,,IRC633,ATR-72-500,1402-01-01,22:10:00,1402-01-01,22:31:00,سه شنبه,پرواز كرد ,NULL,IRC,0,21,departure,2023-03-21,2023-03-21,14,آسمان,36.9094009399,54.4012985229
14,OINZ,OIMM,,IRC3973,B737,1402-01-01,21:15:00,1402-01-01,22:28:00,سه شنبه,پرواز كرد ,NULL,IRC,0,73,departure,2023-03-21,2023-03-21,15,آسمان,36.644408,53.188761
15,OITR,OIII,EPATE,IRC3855,F100,1402-01-01,22:20:00,1402-01-01,22:20:00,سه شنبه,تاخیر ,NULL,IRC,0,0,arrival,2023-03-21,2023-03-21,16,آسمان,37.6680984497,45.0686988831
16,OIII,OIAW,EPAPQ,IRC832,737,1402-01-01,21:30:00,1402-01-01,22:13:00,سه شنبه,پرواز كرد ,NULL,IRC,0,43,departure,2023-03-21,2023-03-21,17,آسمان,35.68920135498047,51.31340026855469
17,OIAW,OISS,,IRC3891,f100,1402-01-01,21:35:00,1402-01-01,21:50:00,سه شنبه,پرواز كرد ,NULL,IRC,0,15,departure,2023-03-21,2023-03-21,18,آسمان,31.3374,48.762001
18,OIII,OING,,IRC632,ATR-72-500,1402-01-01,21:30:00,1402-01-01,21:47:00,سه شنبه,نشست ,NULL,IRC,0,17,arrival,2023-03-21,2023-03-21,19,آسمان,35.68920135498047,51.31340026855469
19,OIMM,OINZ,,IRC3972,B737,1402-01-01,20:45:00,1402-01-01,21:35:00,سه شنبه,نشست ,NULL,IRC,0,50,arrival,2023-03-21,2023-03-21,20,آسمان,36.235198974609375,59.64099884033203
20,OICC,OIII,EPATE,IRC623,FOKER100,1402-01-01,18:10:00,1402-01-01,21:30:00,سه شنبه,نشست ,NULL,IRC,0,200,arrival,2023-03-21,2023-03-21,21,آسمان,34.3459014893,47.1581001282
21,OISS,OIKB,NULL,IRC3792,100,1402-01-01,20:10:00,1402-01-01,21:21:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,22,آسمان,29.5392,52.589802
22,OINZ,OIAW,,IRC3975,f100,1402-01-01,21:05:00,1402-01-01,21:13:00,سه شنبه,نشست ,NULL,IRC,0,8,arrival,2023-03-21,2023-03-21,23,آسمان,36.644408,53.188761
23,OICC,OIII,,IRC623,100,1402-01-01,17:10:00,1402-01-01,20:45:00,سه شنبه,پرواز كرد ,NULL,IRC,0,215,departure,2023-03-21,2023-03-21,24,آسمان,34.3459014893,47.1581001282
24,OIII,OING,EPATZ,IRC632,ATR-72-500,1402-01-01,20:00:00,1402-01-01,20:42:00,سه شنبه,پرواز كرد ,NULL,IRC,0,42,departure,2023-03-21,2023-03-21,25,آسمان,35.68920135498047,51.31340026855469
25,OIMM,OINZ,,IRC3972,F100,1402-01-01,19:30:00,1402-01-01,20:37:00,سه شنبه,پرواز كرد ,NULL,IRC,0,67,departure,2023-03-21,2023-03-21,26,آسمان,36.235198974609375,59.64099884033203
26,OIII,OISS,NULL,IRC3780,100,1402-01-01,19:25:00,1402-01-01,20:33:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,27,آسمان,35.68920135498047,51.31340026855469
27,OIMM,OIII,EPAPQ,IRC603,737-700,1402-01-01,20:00:00,1402-01-01,20:17:00,سه شنبه,نشست ,NULL,IRC,0,17,arrival,2023-03-21,2023-03-21,28,آسمان,36.235198974609375,59.64099884033203
28,OIII,OICC,,IRC622,100,1402-01-01,16:40:00,1402-01-01,19:55:00,سه شنبه,نشست ,NULL,IRC,0,195,arrival,2023-03-21,2023-03-21,29,آسمان,35.68920135498047,51.31340026855469
29,OINZ,OIAW,,IRC3975,F100,1402-01-01,19:40:00,1402-01-01,19:54:00,سه شنبه,پرواز كرد ,NULL,IRC,0,14,departure,2023-03-21,2023-03-21,30,آسمان,36.644408,53.188761
30,OIII,OIMM,,IRC610,F100,1402-01-01,18:45:00,1402-01-01,19:36:00,سه شنبه,نشست ,NULL,IRC,0,51,arrival,2023-03-21,2023-03-21,31,آسمان,35.68920135498047,51.31340026855469
31,OIII,OISS,EPATG,IRC3780,F100,1402-01-01,18:05:00,1402-01-01,19:21:00,سه شنبه,پرواز كرد ,NULL,IRC,0,76,departure,2023-03-21,2023-03-21,32,آسمان,35.68920135498047,51.31340026855469
32,OIAW,OINZ,,IRC3974,F100,1402-01-01,19:10:00,1402-01-01,19:12:00,سه شنبه,نشست ,NULL,IRC,0,2,arrival,2023-03-21,2023-03-21,33,آسمان,31.3374,48.762001
33,OIMM,OIII,,IRC603,B737,1402-01-01,18:30:00,1402-01-01,19:07:00,سه شنبه,پرواز كرد ,NULL,IRC,0,37,departure,2023-03-21,2023-03-21,34,آسمان,36.235198974609375,59.64099884033203
34,OIII,OICC,EPATE,IRC622,F100,1402-01-01,15:40:00,1402-01-01,19:06:00,سه شنبه,پرواز كرد ,NULL,IRC,0,206,departure,2023-03-21,2023-03-21,35,آسمان,35.68920135498047,51.31340026855469
35,OIGG,OIII,EPATZ,IRC845,ATR-72-500,1402-01-01,19:05:00,1402-01-01,19:01:00,سه شنبه,نشست ,NULL,IRC,0,-4,arrival,2023-03-21,2023-03-21,36,آسمان,37.323333,49.617778
36,OIII,OIMM,EPATF,IRC610,F100,1402-01-01,17:15:00,1402-01-01,18:26:00,سه شنبه,پرواز كرد ,NULL,IRC,0,71,departure,2023-03-21,2023-03-21,37,آسمان,35.68920135498047,51.31340026855469
37,OIGG,OIII,,IRC845,ATR-72-500,1402-01-01,17:55:00,1402-01-01,18:10:00,سه شنبه,پرواز كرد ,NULL,IRC,0,15,departure,2023-03-21,2023-03-21,38,آسمان,37.323333,49.617778
38,OIZC,OIMM,,IRC3928,B737,1402-01-01,17:30:00,1402-01-01,17:57:00,سه شنبه,نشست ,NULL,IRC,0,27,arrival,2023-03-21,2023-03-21,39,آسمان,25.4433002472,60.3820991516
39,OIAW,OINZ,,IRC3974,100,1402-01-01,17:45:00,1402-01-01,17:57:00,سه شنبه,پرواز كرد ,NULL,IRC,0,12,departure,2023-03-21,2023-03-21,40,آسمان,31.3374,48.762001
40,OIII,OIGG,,IRC844,ATR-72-500,1402-01-01,17:15:00,1402-01-01,17:21:00,سه شنبه,نشست ,NULL,IRC,0,6,arrival,2023-03-21,2023-03-21,41,آسمان,35.68920135498047,51.31340026855469
41,OIKB,OIII,EPATG,IRC645,FOKER100,1402-01-01,16:05:00,1402-01-01,17:21:00,سه شنبه,نشست ,NULL,IRC,0,76,arrival,2023-03-21,2023-03-21,42,آسمان,27.218299865722656,56.37779998779297
42,OISS,OIAW,,IRC3890,f100,1402-01-01,17:15:00,1402-01-01,16:58:00,سه شنبه,نشست ,NULL,IRC,0,-17,arrival,2023-03-21,2023-03-21,43,آسمان,29.5392,52.589802
43,OIII,OIGG,EPATZ,IRC844,ATR-72-500,1402-01-01,16:05:00,1402-01-01,16:21:00,سه شنبه,پرواز كرد ,NULL,IRC,0,16,departure,2023-03-21,2023-03-21,44,آسمان,35.68920135498047,51.31340026855469
44,OIZH,OIII,EPATF,IRC851,F100,1402-01-01,16:15:00,1402-01-01,16:12:00,سه شنبه,نشست ,NULL,IRC,0,-3,arrival,2023-03-21,2023-03-21,45,آسمان,29.47570037841797,60.90620040893555
45,OISS,OIAW,NULL,IRC3890,100,1402-01-01,16:10:00,1402-01-01,16:09:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,46,آسمان,29.5392,52.589802
46,OIYY,OIMM,NULL,IRC619,NULL,1402-01-01,15:40:00,1402-01-01,16:00:00,چهارشنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,47,آسمان,31.9048995972,54.2765007019
47,OIKB,OIII,NULL,IRC645,Boeing734,1402-01-01,14:25:00,1402-01-01,15:38:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,48, آسمان,27.218299865722656,56.37779998779297
48,OITL,OIII,EPATE,IRC3711,F100,1402-01-01,14:50:00,1402-01-01,15:32:00,سه شنبه,نشست ,NULL,IRC,0,42,arrival,2023-03-21,2023-03-21,49,آسمان,38.3256988525,48.4244003296
49,OITL,OIII,,IRC3711,B737,1402-01-01,14:40:00,1402-01-01,14:45:00,سه شنبه,پرواز كرد ,NULL,IRC,0,5,departure,2023-03-21,2023-03-21,50,آسمان,38.3256988525,48.4244003296
50,OIGG,OISS,NULL,IRC3941,NULL,1402-01-01,14:40:00,1402-01-01,14:36:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,51,آسمان,37.323333,49.617778
51,OIZH,OIII,NULL,IRC851,100,1402-01-01,14:20:00,1402-01-01,14:30:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,52, آسمان,29.47570037841797,60.90620040893555
52,OIGG,OIKB,NULL,IRC647,Boeing734,1402-01-01,13:35:00,1402-01-01,14:28:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,53, آسمان,37.323333,49.617778
53,OIII,OITL,,IRC3710,F100,1402-01-01,14:10:00,1402-01-01,13:57:00,سه شنبه,نشست ,NULL,IRC,0,-13,arrival,2023-03-21,2023-03-21,54,آسمان,35.68920135498047,51.31340026855469
54,OING,OIII,EPATZ,IRC629,ATR-72,1402-01-01,14:15:00,1402-01-01,13:55:00,سه شنبه,نشست ,NULL,IRC,0,-20,arrival,2023-03-21,2023-03-21,55,آسمان,36.9094009399,54.4012985229
55,OIMM,OIYY,NULL,IRC618,NULL,1402-01-01,14:40:00,1402-01-01,13:50:00,چهارشنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,56,آسمان,36.235198974609375,59.64099884033203
56,OITR,OIII,NULL,IRC3855,NULL,1402-01-01,13:40:00,1402-01-01,13:40:00,چهارشنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,57, آسمان,37.6680984497,45.0686988831
57,OIMM,OIZH,NULL,IRC853,MD.88,1402-01-01,13:25:00,1402-01-01,13:30:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,58, آسمان,36.235198974609375,59.64099884033203
58,OIII,OITL,EPATE,IRC3710,F100,1402-01-01,12:10:00,1402-01-01,13:15:00,سه شنبه,پرواز كرد ,NULL,IRC,0,65,departure,2023-03-21,2023-03-21,59,آسمان,35.68920135498047,51.31340026855469
59,OIMM,OIZC,,IRC3929,B737,1402-01-01,12:15:00,1402-01-01,13:05:00,سه شنبه,پرواز كرد ,NULL,IRC,0,50,departure,2023-03-21,2023-03-21,60,آسمان,36.235198974609375,59.64099884033203
60,OIGG,OISS,,IRC3941,100,1402-01-01,13:00:00,1402-01-01,13:03:00,سه شنبه,پرواز كرد ,NULL,IRC,0,3,departure,2023-03-21,2023-03-21,61,آسمان,37.323333,49.617778
61,OING,OIII,,IRC629,ATR-72-500,1402-01-01,12:50:00,1402-01-01,12:59:00,سه شنبه,پرواز كرد ,NULL,IRC,0,9,departure,2023-03-21,2023-03-21,62,آسمان,36.9094009399,54.4012985229
62,OIII,OITR,NULL,IRC3854,NULL,1402-01-01,12:55:00,1402-01-01,12:55:00,چهارشنبه,پایان دریافت بار,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,63, آسمان,35.68920135498047,51.31340026855469
63,OIKB,OISS,NULL,IRC3795,100,1402-01-01,12:25:00,1402-01-01,12:25:00,چهارشنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,64, آسمان,27.218299865722656,56.37779998779297
64,OIGG,OIKB,,IRC647,737-600,1402-01-01,11:35:00,1402-01-01,12:20:00,سه شنبه,پرواز كرد ,NULL,IRC,0,45,departure,2023-03-21,2023-03-21,65,آسمان,37.323333,49.617778
65,OICI,OIII,EPATE,IRC841,F100,1402-01-01,11:10:00,1402-01-01,12:19:00,سه شنبه,نشست ,NULL,IRC,0,69,arrival,2023-03-21,2023-03-21,66,آسمان,33.58660125732422,46.40480041503906
66,OISS,OIGG,,IRC3940,100,1402-01-01,12:30:00,1402-01-01,12:15:00,سه شنبه,نشست ,NULL,IRC,0,-15,arrival,2023-03-21,2023-03-21,67,آسمان,29.5392,52.589802
67,OIMM,OIZH,,IRC853,F100,1402-01-01,12:00:00,1402-01-01,12:12:00,سه شنبه,پرواز كرد ,NULL,IRC,0,12,departure,2023-03-21,2023-03-21,68,آسمان,36.235198974609375,59.64099884033203
68,OISS,OIKB,NULL,IRC3794,100,1402-01-01,11:55:00,1402-01-01,12:07:00,چهارشنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,69, آسمان,29.5392,52.589802
69,OIII,OING,,IRC628,ATR-72-500,1402-01-01,12:10:00,1402-01-01,11:52:00,سه شنبه,نشست ,NULL,IRC,0,-18,arrival,2023-03-21,2023-03-21,70,آسمان,35.68920135498047,51.31340026855469
70,OIII,OIMM,,IRC602,B737,1402-01-01,11:30:00,1402-01-01,11:47:00,سه شنبه,نشست ,NULL,IRC,0,17,arrival,2023-03-21,2023-03-21,71,آسمان,35.68920135498047,51.31340026855469
71,OICI,OIII,,IRC841,100,1402-01-01,10:00:00,1402-01-01,11:20:00,سه شنبه,پرواز كرد ,NULL,IRC,0,80,departure,2023-03-21,2023-03-21,72,آسمان,33.58660125732422,46.40480041503906
72,OISS,OIGG,NULL,IRC3940,100,1402-01-01,10:50:00,1402-01-01,10:56:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,73,آسمان,29.5392,52.589802
73,OIZH,OIMM,,IRC852,F100,1402-01-01,10:55:00,1402-01-01,10:55:00,سه شنبه,نشست ,NULL,IRC,0,0,arrival,2023-03-21,2023-03-21,74,آسمان,29.47570037841797,60.90620040893555
74,OIKB,OIGG,,IRC646,737-600,1402-01-01,10:45:00,1402-01-01,10:53:00,سه شنبه,نشست ,NULL,IRC,0,8,arrival,2023-03-21,2023-03-21,75,آسمان,27.218299865722656,56.37779998779297
75,OIII,OING,EPATZ,IRC628,ATR-72,1402-01-01,10:40:00,1402-01-01,10:47:00,سه شنبه,پرواز كرد ,NULL,IRC,0,7,departure,2023-03-21,2023-03-21,76,آسمان,35.68920135498047,51.31340026855469
76,OIII,OIMM,EPAPQ,IRC602,737-700,1402-01-01,10:00:00,1402-01-01,10:33:00,سه شنبه,پرواز كرد ,NULL,IRC,0,33,departure,2023-03-21,2023-03-21,77,آسمان,35.68920135498047,51.31340026855469
77,OIII,OISS,NULL,IRC3771,100,1402-01-01,09:50:00,1402-01-01,10:01:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,78,آسمان,35.68920135498047,51.31340026855469
78,OIZH,OIMM,NULL,IRC852,100,1402-01-01,09:35:00,1402-01-01,09:45:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,79, آسمان,29.47570037841797,60.90620040893555
79,OING,OIII,EPATZ,IRC631,ATR-72-500,1402-01-01,09:50:00,1402-01-01,09:29:00,سه شنبه,نشست ,NULL,IRC,0,-21,arrival,2023-03-21,2023-03-21,80,آسمان,36.9094009399,54.4012985229
80,OIKB,OIGG,NULL,IRC646,Boeing734,1402-01-01,08:35:00,1402-01-01,09:15:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,81, آسمان,27.218299865722656,56.37779998779297
81,OIII,OICI,,IRC840,100,1402-01-01,09:30:00,1402-01-01,09:15:00,سه شنبه,نشست ,NULL,IRC,0,-15,arrival,2023-03-21,2023-03-21,82,آسمان,35.68920135498047,51.31340026855469
82,OIII,OISS,EPASR,IRC3771,F100,1402-01-01,08:25:00,1402-01-01,08:48:00,سه شنبه,پرواز كرد ,NULL,IRC,0,23,departure,2023-03-21,2023-03-21,83,آسمان,35.68920135498047,51.31340026855469
83,OIII,OIZH,NULL,IRC850,100,1402-01-01,08:35:00,1402-01-01,08:45:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,84, آسمان,35.68920135498047,51.31340026855469
84,OING,OIII,,IRC631,ATR-72-500,1402-01-01,08:30:00,1402-01-01,08:33:00,سه شنبه,پرواز كرد ,NULL,IRC,0,3,departure,2023-03-21,2023-03-21,85,آسمان,36.9094009399,54.4012985229
85,OIII,OICI,EPATE,IRC840,F100,1402-01-01,08:15:00,1402-01-01,08:22:00,سه شنبه,پرواز كرد ,NULL,IRC,0,7,departure,2023-03-21,2023-03-21,86,آسمان,35.68920135498047,51.31340026855469
86,OIII,OIKB,NULL,IRC644,Boeing734,1402-01-01,07:55:00,1402-01-01,08:02:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,87, آسمان,35.68920135498047,51.31340026855469
87,OIBB,OIII,EPAPQ,IRC3915,737-700,1402-01-01,08:10:00,1402-01-01,07:57:00,سه شنبه,نشست ,NULL,IRC,0,-13,arrival,2023-03-21,2023-03-21,88,آسمان,28.9447994232,50.8345985413
88,OIII,OING,,IRC630,ATR-72-500,1402-01-01,07:50:00,1402-01-01,07:49:00,سه شنبه,نشست ,NULL,IRC,0,-1,arrival,2023-03-21,2023-03-21,89,آسمان,35.68920135498047,51.31340026855469
89,OIII,OIZH,EPATF,IRC850,F100,1402-01-01,06:45:00,1402-01-01,07:04:00,سه شنبه,پرواز كرد ,NULL,IRC,0,19,departure,2023-03-21,2023-03-21,90,آسمان,35.68920135498047,51.31340026855469
90,OISS,OIII,EPASR,IRC3770,F100,1402-01-01,07:25:00,1402-01-01,06:59:00,سه شنبه,نشست ,NULL,IRC,0,-26,arrival,2023-03-21,2023-03-21,91,آسمان,29.5392,52.589802
91,OIBB,OIII,NULL,IRC3915,NULL,1402-01-01,06:40:00,1402-01-01,06:55:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,92, آسمان,28.9447994232,50.8345985413
92,OIII,OING,EPATZ,IRC630,ATR,1402-01-01,06:20:00,1402-01-01,06:47:00,سه شنبه,پرواز كرد ,NULL,IRC,0,27,departure,2023-03-21,2023-03-21,93,آسمان,35.68920135498047,51.31340026855469
93,OISS,OIII,EPATE,IRC3768,F100,1402-01-01,06:55:00,1402-01-01,06:35:00,سه شنبه,نشست ,NULL,IRC,0,-20,arrival,2023-03-21,2023-03-21,94,آسمان,29.5392,52.589802
94,OIII,OIKB,EPATG,IRC644,FOKER100,1402-01-01,06:05:00,1402-01-01,06:26:00,سه شنبه,پرواز كرد ,NULL,IRC,0,21,departure,2023-03-21,2023-03-21,95,آسمان,35.68920135498047,51.31340026855469
95,OIII,OIBB,NULL,IRC3914,NULL,1402-01-01,05:50:00,1402-01-01,05:55:00,سه شنبه,NULL,NULL,EP,0,0,arrival,2023-03-21,2023-03-21,96, آسمان,35.68920135498047,51.31340026855469
96,OISS,OIII,NULL,IRC3770,100,1402-01-01,06:00:00,1402-01-01,05:36:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,97,آسمان,29.5392,52.589802
97,OISS,OIII,NULL,IRC3768,100,1402-01-01,05:30:00,1402-01-01,05:30:00,سه شنبه,NULL,NULL,EP,0,0,departure,2023-03-21,2023-03-21,98,آسمان,29.5392,52.589802
98,OIII,OIBB,EPAPQ,IRC3914,737-700,1402-01-01,04:20:00,1402-01-01,04:42:00,سه شنبه,پرواز كرد ,NULL,IRC,0,22,departure,2023-03-21,2023-03-21,99,آسمان,35.68920135498047,51.31340026855469
99,OIMM,OIII,EPATF,IRC601,F100,1402-01-01,00:50:00,1402-01-01,00:43:00,سه شنبه,نشست ,NULL,IRC,0,-7,arrival,2023-03-21,2023-03-21,100,آسمان,36.235198974609375,59.64099884033203
100,OIAW,OIII,EPATG,IRC831,F100,1402-01-01,00:01:00,1402-01-01,00:24:00,سه شنبه,نشست ,NULL,IRC,0,23,arrival,2023-03-21,2023-03-21,101,آسمان,31.3374,48.762001
101,OIMM,OIII,,IRC611,F100,1402-01-01,23:30:00,1402-01-02,00:22:00,سه شنبه,پرواز كرد ,NULL,IRC,0,52,departure,2023-03-21,2023-03-22,102,آسمان,36.235198974609375,59.64099884033203
102,OIAW,OIII,,IRC833,100,1402-01-01,23:30:00,1402-01-02,00:15:00,سه شنبه,پرواز كرد ,NULL,IRC,0,45,departure,2023-03-21,2023-03-22,103,آسمان,31.3374,48.762001
103,OISS,OIII,NULL,IRC3781,100,1402-01-02,23:25:00,1402-01-02,23:59:00,پنجشنبه,پروازکرد23:59,NULL,EP,0,0,departure,2023-03-22,2023-03-22,104,آسمان,29.5392,52.589802
104,OIII,OIAA,,IRC860,F100,1402-01-02,22:40:00,1402-01-02,23:56:00,چهار شنبه,نشست ,NULL,IRC,0,76,arrival,2023-03-22,2023-03-22,105,آسمان,35.68920135498047,51.31340026855469
105,OIII,OISS,,IRC3775,F100,1402-01-02,23:40:00,1402-01-02,23:40:00,چهار شنبه,طبق برنامه ,NULL,IRC,0,0,departure,2023-03-22,2023-03-22,106,آسمان,35.68920135498047,51.31340026855469
106,OICC,OIII,EPATG,IRC625,F100,1402-01-02,23:50:00,1402-01-02,23:30:00,چهار شنبه,نشست ,NULL,IRC,0,-20,arrival,2023-03-22,2023-03-22,107,آسمان,34.3459014893,47.1581001282
107,OIAW,OIMM,,IRC836,100,1402-01-02,20:45:00,1402-01-02,23:16:00,چهار شنبه,پرواز كرد ,NULL,IRC,0,151,departure,2023-03-22,2023-03-22,108,آسمان,31.3374,48.762001
108,OING,OIII,EPATZ,IRC633,ATR-72-500,1402-01-02,23:35:00,1402-01-02,23:03:00,چهار شنبه,نشست ,NULL,IRC,0,-32,arrival,2023-03-22,2023-03-22,109,آسمان,36.9094009399,54.4012985229
109,OIII,OISS,NULL,IRC3780,100,1402-01-02,22:25:00,1402-01-02,22:57:00,پنجشنبه, نشست22:57,NULL,EP,0,0,arrival,2023-03-22,2023-03-22,110,آسمان,35.68920135498047,51.31340026855469
110,OIII,OIAA,EPATF,IRC860,FOKER100,1402-01-02,21:25:00,1402-01-02,22:56:00,چهار شنبه,پرواز كرد ,NULL,IRC,0,91,departure,2023-03-22,2023-03-22,111,آسمان,35.68920135498047,51.31340026855469
111,OIAA,OISS,NULL,IRC3821,100,1402-01-02,22:30:00,1402-01-02,22:44:00,چهارشنبه,NULL,NULL,EP,0,0,arrival,2023-03-22,2023-03-22,112,آسمان,30.367887,48.230075
112,OICC,OIII,,IRC625,100,1402-01-02,22:40:00,1402-01-02,22:40:00,چهار شنبه,پرواز كرد ,NULL,IRC,0,0,departure,2023-03-22,2023-03-22,113,آسمان,34.3459014893,47.1581001282
113,OIYY,OIII,NULL,IRC3745,737,1402-01-02,22:25:00,1402-01-02,22:35:00,پنجشنبه,پروازکرد22:35,NULL,EP,0,0,departure,2023-03-22,2023-03-22,114,آسمان,31.9048995972,54.2765007019
114,OIMM,OIAW,,IRC837,100,1402-01-02,20:15:00,1402-01-02,22:23:00,چهار شنبه,نشست ,NULL,IRC,0,128,arrival,2023-03-22,2023-03-22,115,آسمان,36.235198974609375,59.64099884033203
115,OIII,OIYY,EPAPQ,IRC3724,737,1402-01-02,21:50:00,1402-01-02,22:20:00,چهار شنبه,پرواز كرد ,NULL,IRC,0,30,departure,2023-03-22,2023-03-22,116,آسمان,35.68920135498047,51.31340026855469
116,OING,OIII,,IRC633,ATR-72-500,1402-01-02,22:15:00,1402-01-02,22:10:00,چهار شنبه,پرواز كرد ,NULL,IRC,0,-5,departure,2023-03-22,2023-03-22,117,آسمان,36.9094009399,54.4012985229
117,OIAA,OISS,,IRC3821,F100,1402-01-02,21:25:00,1402-01-02,21:54:00,چهار شنبه,پرواز كرد ,NULL,IRC,0,29,departure,2023-03-22,2023-03-22,118,آسمان,30.367887,48.230075
118,OIII,OICC,,IRC624,100,1402-01-02,22:00:00,1402-01-02,21:50:00,چهار شنبه,نشست ,NULL,IRC,0,-10,arrival,2023-03-22,2023-03-22,119,آسمان,35.68920135498047,51.31340026855469
119,OISS,OIII,EPATF,IRC825,F100,1402-01-02,20:25:00,1402-01-02,21:39:00,چهار شنبه,نشست ,NULL,IRC,0,74,arrival,2023-03-22,2023-03-22,120,آسمان,29.5392,52.589802
120,OIII,OIYY,NULL,IRC3744,NULL,1402-01-02,21:25:00,1402-01-02,21:20:00,پنجشنبه, نشست21:20,NULL,EP,0,0,arrival,2023-03-22,2023-03-22,121,آسمان,35.68920135498047,51.31340026855469
121,OIII,OING,,IRC632,ATR-72-500,1402-01-02,21:35:00,1402-01-02,21:19:00,چهار شنبه,نشست ,NULL,IRC,0,-16,arrival,2023-03-22,2023-03-22,122,آسمان,35.68920135498047,51.31340026855469
